,client_id,district_id,Birth_date,Gender
0,1,18,1970-12-13,Female
1,2,1,1945-02-04,Male
2,3,1,1940-10-09,Female
3,4,5,1956-12-01,Male
4,5,5,1960-07-03,Female
5,6,12,1919-09-22,Male
6,7,15,1929-01-25,Male
7,8,51,1938-02-21,Female
8,9,60,1935-10-16,Male
9,10,57,1943-05-01,Male
10,11,57,1950-08-22,Female
11,12,40,1981-02-20,Male
12,13,54,1974-05-29,Female
13,14,76,1942-06-22,Female
14,15,21,1918-08-28,Female
15,16,21,1919-02-25,Male
16,17,76,1934-10-13,Male
17,18,76,1931-04-05,Female
18,19,47,1942-12-28,Male
19,20,46,1979-01-04,Male
20,21,12,1952-10-29,Female
21,22,1,1969-10-11,Female
22,23,1,1973-05-29,Male
23,24,43,1939-07-29,Female
24,25,21,1939-04-23,Female
25,26,74,1969-04-20,Female
26,27,54,1966-03-26,Female
27,28,1,1945-09-29,Male
28,29,30,1951-09-11,Female
29,30,74,1957-10-09,Female
30,31,68,1962-02-09,Male
31,32,52,1980-07-28,Male
32,33,73,1948-12-04,Female
33,36,7,1978-07-17,Female
34,37,7,1970-08-10,Male
35,38,36,1973-07-23,Female
36,39,68,1968-01-25,Male
37,40,5,1957-01-22,Female
38,41,22,1968-08-27,Male
39,42,68,1935-08-17,Male
40,43,75,1920-10-28,Male
41,44,38,1977-01-11,Female
42,45,20,1952-08-26,Male
43,46,19,1940-01-30,Female
44,47,76,1934-07-14,Male
45,48,16,1940-02-09,Male
46,49,72,1959-05-11,Female
47,50,39,1978-07-30,Female
48,51,36,1979-12-02,Female
49,52,32,1924-12-12,Male
50,53,64,1977-05-05,Male
51,55,45,1948-09-18,Female
52,56,21,1960-03-31,Male
53,57,21,1961-12-17,Female
54,58,1,1927-04-29,Female
55,59,1,1957-02-18,Male
56,60,67,1980-02-19,Male
57,61,16,1948-08-06,Female
58,62,77,1932-12-08,Male
59,63,4,1959-06-04,Male
60,64,20,1926-04-22,Male
61,65,50,1943-05-27,Female
62,66,1,1951-11-10,Female
63,67,29,1932-11-11,Female
64,68,43,1946-12-14,Male
65,70,70,1925-12-22,Male
66,71,70,1927-02-06,Female
67,72,47,1923-01-13,Male
68,73,22,1924-02-20,Male
69,74,22,1925-07-26,Female
70,75,64,1977-09-19,Female
71,76,36,1967-10-01,Female
72,77,1,1956-02-18,Female
73,78,16,1944-06-13,Female
74,79,37,1969-03-10,Female
75,80,64,1979-02-25,Female
76,81,8,1976-04-29,Male
77,82,8,1979-12-25,Female
78,83,1,1978-12-25,Female
79,84,1,1979-05-05,Male
80,85,1,1961-08-27,Male
81,86,1,1969-07-20,Female
82,87,72,1946-11-17,Female
83,89,1,1951-05-05,Female
84,90,52,1975-08-17,Male
85,91,63,1940-08-07,Male
86,92,74,1966-06-12,Female
87,93,3,1925-02-16,Male
88,94,43,1947-09-09,Male
89,95,43,1952-08-03,Female
90,96,74,1972-02-29,Male
91,97,26,1965-11-28,Male
92,98,33,1973-05-04,Female
93,99,33,1973-01-26,Male
94,100,44,1942-08-11,Female
95,101,68,1943-01-23,Male
96,102,74,1958-09-10,Female
97,103,74,1955-07-11,Male
98,105,31,1980-05-26,Male
99,106,68,1968-12-30,Female
100,107,1,1972-06-23,Male
101,108,17,1963-09-13,Male
102,110,2,1967-04-13,Female
103,112,1,1935-01-25,Male
104,113,1,1940-08-15,Female
105,114,74,1969-06-24,Female
106,115,74,1969-12-24,Male
107,116,74,1942-01-28,Male
108,117,74,1936-09-20,Female
109,118,55,1922-07-19,Male
110,119,55,1922-02-28,Female
111,120,1,1976-05-10,Male
112,121,41,1978-10-29,Female
113,122,35,1963-11-13,Female
114,123,11,1969-02-12,Male
